lon,lat,verified
13.07,47.07,1
13.12,47.16,1
12.43,47.55,1
13.14,47.13,1
13.21,47.64,1
12.5,47.32,1
16.66,47.85,1
24.583333,58.35,1
25.583333,58.25,1
15.315556,48.232778,1
63.614978,60.869009,1
11.52291,58.45829,1
12.16702,58.58852,1
6.468,58.7135,1
5.868483,53.463933,1
15.46583,47.08083,1
8.86917,47.63934,1
8.266,47.22159,1
8.25995,46.97063,1
8.95465,45.97386,1
8.25927,46.92566,1
8.93316,47.54858,1
8.00719,46.84708,1
9.29695,46.5536,1
8.32714,47.06009,1
8.83138,46.20038,1
8.32491,46.92517,1
9.04826,46.96227,1
8.06337,47.01685,1
9.74931,46.45531,1
9.94445,46.45117,1
8.12625,46.7916,1
8.38423,46.56485,1
8.25721,46.79074,1
8.45365,46.78916,1
8.53375,47.50807,1
8.38817,46.78972,1
9.11815,47.09623,1
9.06548,46.96692,1
9.05231,47.09717,1
8.19236,46.83616,1
9.49762,46.68512,1
8.82758,46.87918,1
9.88143,46.49754,1
